year_of_filing,state,sector,dispute_type,claim_amount_slab,claim_amount_numeric,respondent_type,delay_days,has_written_contract,has_purchase_order,has_delivery_challan,num_invoices_submitted,doc_completeness_score,claimant_udyam_age_months,prior_cases_filed,case_status,resolution_days
2019,Delhi,Printing & Packaging,Non-Payment,1-10 Lakh,500000,Private Large Corp,331,0,1,1,3,0.39,61,0,Disposed - In Favour of Claimant,252.0
2021,Gujarat,Pharma & Chemicals,Partial Payment,10-50 Lakh,3000000,Private Large Corp,453,0,0,1,14,0.68,101,0,Disposed - In Favour of Claimant,597.0
2024,Maharashtra,Engineering & Fabrication,Non-Payment,10-50 Lakh,3000000,Private Large Corp,450,1,1,1,9,0.57,100,0,Mutually Settled,96.0
2024,Jharkhand,Printing & Packaging,Payment After Due Date,50 Lakh - 1 Crore,7500000,Govt Department,215,1,0,0,4,0.34,22,0,Mutually Settled,22.0
2023,Uttarakhand,Manufacturing,Partial Payment,1-10 Lakh,500000,CPSE,553,0,0,1,8,0.46,50,0,Converted to Case - Pending,
2024,Telangana,Textile & Apparel,Non-Payment,50 Lakh - 1 Crore,7500000,Private Large Corp,381,1,1,1,1,0.74,12,0,Mutually Settled,154.0
2023,Tamil Nadu,Manufacturing,Partial Payment,50 Lakh - 1 Crore,7500000,PSU,533,1,1,0,10,0.47,19,0,Converted to Case - Pending,
2023,Maharashtra,Electrical & Electronics,Non-Payment,1-10 Lakh,500000,CPSE,276,0,1,1,12,0.52,86,0,Mutually Settled,114.0
2021,Haryana,Auto Components,Non-Payment,1-10 Lakh,500000,CPSE,145,1,1,1,4,0.72,6,0,Mutually Settled,141.0
2022,Rajasthan,Food Processing,Payment After Due Date,Above 1 Crore,15000000,Private Large Corp,790,1,1,1,8,0.83,56,1,Mutually Settled,108.0
2021,Maharashtra,Manufacturing,Partial Payment,10-50 Lakh,3000000,Private Large Corp,47,0,1,1,8,0.78,89,0,Mutually Settled,50.0
2023,Rajasthan,Construction,Non-Payment,1-10 Lakh,500000,Private Large Corp,554,1,1,1,10,0.64,112,0,Mutually Settled,148.0
2021,Maharashtra,IT & Software Services,Payment After Due Date,10-50 Lakh,3000000,Private Large Corp,573,1,0,1,5,0.69,4,0,Disposed - In Favour of Claimant,464.0
2019,Bihar,Engineering & Fabrication,Non-Payment,1-10 Lakh,500000,PSU,778,1,1,0,7,0.67,25,0,Mutually Settled,90.0
2019,Tamil Nadu,Manufacturing,Payment After Due Date,1-10 Lakh,500000,Private Large Corp,308,1,1,1,9,0.44,19,3,Disposed - In Favour of Claimant,144.0
2025,Punjab,Manufacturing,Partial Payment,10-50 Lakh,3000000,Govt Department,740,1,0,0,3,0.71,54,2,Disposed - In Favour of Claimant,376.0
2017,Tamil Nadu,Auto Components,Partial Payment,10-50 Lakh,3000000,Private Large Corp,444,0,1,1,3,0.44,10,0,Mutually Settled,168.0
2019,Karnataka,Electrical & Electronics,Quality Dispute Leading to Non-Payment,50 Lakh - 1 Crore,7500000,Govt Department,68,1,1,1,11,0.77,89,0,Mutually Settled,81.0
2021,Karnataka,IT & Software Services,Payment After Due Date,1-10 Lakh,500000,Private Large Corp,292,1,1,1,8,0.68,18,1,Mutually Settled,137.0
2020,Gujarat,IT & Software Services,Non-Payment,50 Lakh - 1 Crore,7500000,PSU,302,1,1,1,4,0.22,115,0,Disposed - In Favour of Claimant,453.0
2021,Uttarakhand,Auto Components,Non-Payment,1-10 Lakh,500000,Govt Department,673,1,1,1,3,0.85,110,1,Mutually Settled,142.0
2019,Madhya Pradesh,Pharma & Chemicals,Quality Dispute Leading to Non-Payment,10-50 Lakh,3000000,Govt Department,114,0,1,1,11,0.55,74,0,Mutually Settled,136.0
2019,Jharkhand,Auto Components,Non-Payment,1-10 Lakh,500000,Private Large Corp,698,1,1,0,10,0.53,3,0,Mutually Settled,118.0
2024,Bihar,Construction,Partial Payment,1-10 Lakh,500000,Private Large Corp,609,1,1,0,9,0.84,37,1,Mutually Settled,125.0
2023,Delhi,Printing & Packaging,Payment After Due Date,50 Lakh - 1 Crore,7500000,Private Large Corp,442,1,1,1,12,0.62,62,0,Disposed - In Favour of Claimant,610.0
2019,Odisha,Construction,Partial Payment,1-10 Lakh,500000,PSU,653,1,1,1,10,0.77,107,0,Mutually Settled,149.0
2023,Maharashtra,Auto Components,Payment After Due Date,50 Lakh - 1 Crore,7500000,Private Large Corp,612,1,1,0,10,0.52,67,2,Mutually Settled,133.0
2022,Gujarat,Food Processing,Payment After Due Date,1-10 Lakh,500000,PSU,330,0,1,1,14,0.81,34,2,Mutually Settled,29.0
2023,Maharashtra,Pharma & Chemicals,Partial Payment,Below 1 Lakh,50000,Private Large Corp,191,1,0,1,12,0.69,7,0,Mutually Settled,85.0
2022,Tamil Nadu,Food Processing,Payment After Due Date,Below 1 Lakh,50000,Private Large Corp,431,1,1,0,10,0.73,25,1,Mutually Settled,118.0
2020,Uttar Pradesh,Construction,Partial Payment,10-50 Lakh,3000000,Govt Department,328,1,1,0,8,0.61,69,1,Mutually Settled,141.0
2023,Tamil Nadu,IT & Software Services,Non-Payment,1-10 Lakh,500000,PSU,607,1,1,1,13,0.98,116,0,Mutually Settled,150.0
2021,Telangana,Construction,Partial Payment,10-50 Lakh,3000000,Private Large Corp,343,0,1,1,6,1.0,94,0,Mutually Settled,53.0
2020,Uttar Pradesh,Textile & Apparel,Payment After Due Date,10-50 Lakh,3000000,Govt Department,752,1,1,0,4,0.21,20,0,Disposed - In Favour of Claimant,484.0
2021,Tamil Nadu,Electrical & Electronics,Quality Dispute Leading to Non-Payment,1-10 Lakh,500000,Govt Department,546,1,1,0,1,0.84,1,0,Mutually Settled,135.0
2023,Karnataka,Engineering & Fabrication,Non-Payment,1-10 Lakh,500000,Private Large Corp,267,1,1,0,14,0.43,111,0,Disposed - In Favour of Claimant,293.0
2022,Gujarat,Textile & Apparel,Non-Payment,1-10 Lakh,500000,Private Large Corp,183,1,1,0,14,0.75,16,0,Disposed - In Favour of Claimant,682.0
2020,Madhya Pradesh,Auto Components,Quality Dispute Leading to Non-Payment,Above 1 Crore,15000000,Govt Department,566,1,1,1,8,0.29,111,0,Converted to Case - Pending,
2024,Maharashtra,Manufacturing,Partial Payment,1-10 Lakh,500000,CPSE,560,0,1,1,4,0.73,79,0,Mutually Settled,86.0
2024,Himachal Pradesh,Food Processing,Non-Payment,1-10 Lakh,500000,Private Large Corp,387,0,1,1,2,0.48,29,0,Disposed - In Favour of Claimant,473.0
2021,Madhya Pradesh,Printing & Packaging,Partial Payment,1-10 Lakh,500000,Govt Department,83,1,0,0,6,0.56,59,0,Mutually Settled,145.0
2021,Gujarat,Textile & Apparel,Contract Breach,10-50 Lakh,3000000,CPSE,504,0,1,1,14,0.56,25,1,Mutually Settled,115.0
2022,Maharashtra,Pharma & Chemicals,Payment After Due Date,10-50 Lakh,3000000,PSU,115,1,1,1,10,0.5,77,0,Mutually Settled,120.0
2018,Telangana,Food Processing,Payment After Due Date,50 Lakh - 1 Crore,7500000,Private Large Corp,626,1,1,1,1,0.51,15,1,Disposed - In Favour of Claimant,292.0
2023,Haryana,Textile & Apparel,Non-Payment,50 Lakh - 1 Crore,7500000,Govt Department,715,1,0,1,7,0.57,97,2,Mutually Settled,170.0
2024,West Bengal,IT & Software Services,Quality Dispute Leading to Non-Payment,1-10 Lakh,500000,Private Large Corp,827,1,1,1,9,0.62,110,0,Mutually Settled,56.0
2021,Madhya Pradesh,Engineering & Fabrication,Partial Payment,1-10 Lakh,500000,Private Large Corp,47,1,1,1,6,0.71,35,0,Disposed - In Favour of Claimant,264.0
2019,Maharashtra,Construction,Quality Dispute Leading to Non-Payment,10-50 Lakh,3000000,Private Large Corp,658,1,1,0,5,1.0,70,0,Mutually Settled,107.0
2017,Uttar Pradesh,Construction,Non-Payment,50 Lakh - 1 Crore,7500000,Private Large Corp,181,0,1,1,12,0.46,33,0,Converted to Case - Pending,
2023,Maharashtra,Textile & Apparel,Non-Payment,1-10 Lakh,500000,Private Large Corp,887,0,1,0,3,0.68,31,0,Mutually Settled,24.0
2020,Andhra Pradesh,Auto Components,Partial Payment,1-10 Lakh,500000,Govt Department,258,1,0,1,10,0.8,101,0,Mutually Settled,45.0
2022,Delhi,Pharma & Chemicals,Non-Payment,50 Lakh - 1 Crore,7500000,CPSE,128,1,1,1,7,0.51,51,0,Mutually Settled,76.0
2021,Tamil Nadu,Auto Components,Payment After Due Date,1-10 Lakh,500000,Private Large Corp,400,0,1,1,11,0.2,3,0,Converted to Case - Pending,
2019,Maharashtra,Food Processing,Contract Breach,1-10 Lakh,500000,Private Large Corp,831,1,1,1,2,0.27,78,1,Disposed - In Favour of Claimant,332.0
2022,Tamil Nadu,Electrical & Electronics,Partial Payment,50 Lakh - 1 Crore,7500000,Govt Department,186,1,0,1,1,0.21,1,0,Converted to Case - Pending,
2021,Tamil Nadu,Engineering & Fabrication,Quality Dispute Leading to Non-Payment,10-50 Lakh,3000000,PSU,859,0,1,1,11,0.96,58,2,Mutually Settled,72.0
2023,West Bengal,Engineering & Fabrication,Partial Payment,1-10 Lakh,500000,Govt Department,697,1,1,0,2,0.77,34,0,Mutually Settled,19.0
2020,Punjab,Construction,Payment After Due Date,1-10 Lakh,500000,Govt Department,853,1,1,1,4,0.8,40,0,Mutually Settled,20.0
2020,Kerala,Engineering & Fabrication,Payment After Due Date,1-10 Lakh,500000,CPSE,645,1,1,1,12,0.85,30,2,Mutually Settled,75.0
2024,Rajasthan,Auto Components,Payment After Due Date,50 Lakh - 1 Crore,7500000,Private Large Corp,441,0,1,0,4,0.53,40,2,Disposed - In Favour of Claimant,688.0
2023,Maharashtra,Pharma & Chemicals,Partial Payment,Above 1 Crore,15000000,Private Large Corp,880,1,1,1,2,1.0,70,0,Mutually Settled,29.0
2023,Haryana,Pharma & Chemicals,Partial Payment,10-50 Lakh,3000000,Private Large Corp,838,1,1,1,14,0.72,74,0,Mutually Settled,177.0
2019,West Bengal,Construction,Payment After Due Date,1-10 Lakh,500000,PSU,286,1,1,1,4,0.64,97,1,Mutually Settled,78.0
2020,Karnataka,Textile & Apparel,Non-Payment,Below 1 Lakh,50000,CPSE,669,0,1,1,5,0.87,113,0,Mutually Settled,175.0
2022,Madhya Pradesh,Pharma & Chemicals,Payment After Due Date,10-50 Lakh,3000000,CPSE,346,1,1,1,8,0.78,14,0,Mutually Settled,61.0
2024,Rajasthan,Auto Components,Contract Breach,1-10 Lakh,500000,Private SME,186,1,0,0,5,0.92,57,0,Mutually Settled,97.0
2024,Karnataka,Manufacturing,Partial Payment,10-50 Lakh,3000000,Private Large Corp,197,1,0,0,1,0.93,12,0,Mutually Settled,29.0
2024,Uttar Pradesh,Textile & Apparel,Payment After Due Date,10-50 Lakh,3000000,Govt Department,761,1,1,0,11,0.58,52,0,Mutually Settled,130.0
2018,Maharashtra,Electrical & Electronics,Payment After Due Date,1-10 Lakh,500000,Private Large Corp,815,1,1,1,14,0.69,71,0,Mutually Settled,160.0
2024,Maharashtra,Printing & Packaging,Partial Payment,Above 1 Crore,15000000,CPSE,832,0,0,0,10,0.47,5,3,Disposed - In Favour of Claimant,92.0
2024,Maharashtra,IT & Software Services,Partial Payment,Below 1 Lakh,50000,Private Large Corp,259,1,1,1,7,0.32,23,2,Disposed - In Favour of Claimant,603.0
2018,Punjab,Engineering & Fabrication,Quality Dispute Leading to Non-Payment,10-50 Lakh,3000000,Private Large Corp,837,0,1,1,8,0.82,61,0,Mutually Settled,131.0
2021,Tamil Nadu,Engineering & Fabrication,Non-Payment,1-10 Lakh,500000,Private SME,519,0,1,1,14,0.84,38,3,Mutually Settled,122.0
2022,Karnataka,Manufacturing,Non-Payment,10-50 Lakh,3000000,Govt Department,234,0,1,1,12,0.25,91,0,Disposed - In Favour of Claimant,645.0
2020,Bihar,Textile & Apparel,Payment After Due Date,10-50 Lakh,3000000,Private SME,178,1,1,0,4,0.51,77,0,Disposed - In Favour of Claimant,706.0
2022,Gujarat,Construction,Partial Payment,Below 1 Lakh,50000,Private Large Corp,125,1,1,1,1,0.66,5,1,Mutually Settled,122.0
2024,Uttar Pradesh,Auto Components,Payment After Due Date,1-10 Lakh,500000,Private SME,146,1,0,0,10,0.68,68,0,Disposed - In Favour of Claimant,106.0
2024,West Bengal,Manufacturing,Non-Payment,1-10 Lakh,500000,Govt Department,403,0,1,1,10,1.0,10,0,Mutually Settled,73.0
2025,Gujarat,IT & Software Services,Non-Payment,1-10 Lakh,500000,Govt Department,109,1,1,0,4,0.52,109,1,Mutually Settled,64.0
2022,Maharashtra,Pharma & Chemicals,Quality Dispute Leading to Non-Payment,10-50 Lakh,3000000,PSU,569,1,0,0,10,0.62,53,3,Mutually Settled,76.0
2021,Tamil Nadu,Construction,Non-Payment,1-10 Lakh,500000,Private SME,680,1,1,1,4,0.78,93,1,Mutually Settled,24.0
2023,Gujarat,Printing & Packaging,Payment After Due Date,1-10 Lakh,500000,PSU,410,1,1,0,5,0.58,77,0,Mutually Settled,38.0
2021,Odisha,Construction,Payment After Due Date,1-10 Lakh,500000,Private Large Corp,154,1,1,1,8,0.55,63,1,Mutually Settled,120.0
2018,Telangana,Manufacturing,Payment After Due Date,10-50 Lakh,3000000,PSU,232,1,1,1,4,0.53,20,0,Disposed - In Favour of Claimant,277.0
2023,Punjab,Electrical & Electronics,Non-Payment,10-50 Lakh,3000000,Govt Department,450,1,0,0,1,0.7,90,0,Mutually Settled,150.0
2020,Kerala,Manufacturing,Partial Payment,1-10 Lakh,500000,Private Large Corp,397,1,1,1,1,0.61,62,1,Mutually Settled,161.0
2018,Madhya Pradesh,Manufacturing,Quality Dispute Leading to Non-Payment,10-50 Lakh,3000000,Private Large Corp,251,1,1,0,4,0.79,103,3,Mutually Settled,153.0
2017,Gujarat,Manufacturing,Non-Payment,50 Lakh - 1 Crore,7500000,Govt Department,92,1,1,0,10,0.72,12,0,Mutually Settled,155.0
2025,Kerala,Construction,Non-Payment,Below 1 Lakh,50000,Private Large Corp,866,1,1,0,11,0.1,82,1,Disposed - In Favour of Claimant,453.0
2020,Karnataka,Manufacturing,Non-Payment,10-50 Lakh,3000000,Private Large Corp,144,1,1,0,14,0.3,57,3,Converted to Case - Pending,
2021,Madhya Pradesh,Textile & Apparel,Non-Payment,1-10 Lakh,500000,Private SME,886,0,1,1,13,0.55,53,0,Mutually Settled,16.0
2025,Bihar,Construction,Quality Dispute Leading to Non-Payment,Below 1 Lakh,50000,Private Large Corp,550,1,1,0,7,0.85,93,0,Mutually Settled,119.0
2022,Tamil Nadu,Pharma & Chemicals,Quality Dispute Leading to Non-Payment,10-50 Lakh,3000000,Private Large Corp,279,0,1,1,11,0.52,28,0,Converted to Case - Pending,
2018,Maharashtra,Textile & Apparel,Contract Breach,1-10 Lakh,500000,PSU,778,0,1,1,5,0.72,35,0,Mutually Settled,119.0
2022,Gujarat,IT & Software Services,Partial Payment,50 Lakh - 1 Crore,7500000,PSU,468,1,0,0,7,0.77,69,1,Mutually Settled,31.0
2018,Uttar Pradesh,Pharma & Chemicals,Payment After Due Date,Below 1 Lakh,50000,Private Large Corp,635,1,1,1,13,0.76,57,0,Mutually Settled,48.0
2018,Telangana,Printing & Packaging,Non-Payment,Below 1 Lakh,50000,CPSE,262,1,0,1,10,0.54,2,2,Mutually Settled,57.0
2024,Andhra Pradesh,Engineering & Fabrication,Partial Payment,1-10 Lakh,500000,Govt Department,219,1,1,1,5,0.42,72,0,Mutually Settled,177.0
2020,Maharashtra,Construction,Partial Payment,10-50 Lakh,3000000,Private Large Corp,486,1,1,1,9,0.39,97,2,Mutually Settled,129.0
2023,Karnataka,Engineering & Fabrication,Quality Dispute Leading to Non-Payment,10-50 Lakh,3000000,Private Large Corp,151,1,1,1,9,1.0,16,3,Mutually Settled,72.0
2022,Uttar Pradesh,Construction,Payment After Due Date,1-10 Lakh,500000,PSU,722,1,0,0,13,0.74,87,0,Mutually Settled,102.0
2020,Gujarat,Pharma & Chemicals,Quality Dispute Leading to Non-Payment,50 Lakh - 1 Crore,7500000,Private Large Corp,456,1,1,0,12,1.0,80,0,Mutually Settled,109.0
2022,Maharashtra,Printing & Packaging,Quality Dispute Leading to Non-Payment,Above 1 Crore,15000000,CPSE,458,1,1,0,3,0.48,55,1,Disposed - In Favour of Claimant,273.0
2018,Tamil Nadu,Auto Components,Quality Dispute Leading to Non-Payment,1-10 Lakh,500000,Private Large Corp,158,0,1,1,8,0.9,71,0,Mutually Settled,158.0
2021,Jharkhand,Auto Components,Non-Payment,10-50 Lakh,3000000,Govt Department,191,1,0,1,10,0.55,87,0,Disposed - In Favour of Claimant,499.0
2022,Tamil Nadu,Textile & Apparel,Payment After Due Date,1-10 Lakh,500000,Private SME,689,0,1,1,5,0.64,95,0,Disposed - In Favour of Claimant,111.0
2020,Karnataka,Manufacturing,Partial Payment,Below 1 Lakh,50000,Private SME,129,1,1,1,5,0.59,48,1,Disposed - In Favour of Claimant,497.0
2023,Haryana,Manufacturing,Non-Payment,1-10 Lakh,500000,Private Large Corp,558,1,1,1,7,0.47,16,0,Mutually Settled,76.0
2018,Uttar Pradesh,Auto Components,Non-Payment,Below 1 Lakh,50000,PSU,810,1,1,1,13,0.48,99,1,Mutually Settled,174.0
2022,Himachal Pradesh,Pharma & Chemicals,Partial Payment,Above 1 Crore,15000000,Private Large Corp,581,0,1,1,1,0.64,99,0,Disposed - In Favour of Claimant,538.0
2023,Uttarakhand,Printing & Packaging,Non-Payment,1-10 Lakh,500000,Private SME,343,1,1,0,1,0.53,66,0,Disposed - In Favour of Claimant,503.0
2021,Tamil Nadu,Textile & Apparel,Partial Payment,10-50 Lakh,3000000,PSU,233,1,1,1,11,0.68,27,0,Mutually Settled,155.0
2024,Rajasthan,Pharma & Chemicals,Partial Payment,1-10 Lakh,500000,Private Large Corp,156,0,1,0,8,0.48,83,0,Converted to Case - Pending,
2023,Tamil Nadu,Manufacturing,Quality Dispute Leading to Non-Payment,10-50 Lakh,3000000,Govt Department,581,1,1,1,2,0.79,102,0,Mutually Settled,121.0
2025,Tamil Nadu,Textile & Apparel,Payment After Due Date,1-10 Lakh,500000,Private Large Corp,101,1,0,1,5,0.56,4,0,Disposed - In Favour of Claimant,525.0
2020,Maharashtra,Engineering & Fabrication,Partial Payment,10-50 Lakh,3000000,Private Large Corp,626,0,1,0,9,0.98,42,2,Mutually Settled,26.0
2025,Delhi,Food Processing,Non-Payment,Below 1 Lakh,50000,PSU,519,1,1,0,1,0.64,107,0,Mutually Settled,178.0
2022,Karnataka,IT & Software Services,Non-Payment,50 Lakh - 1 Crore,7500000,Private Large Corp,575,0,1,0,4,0.63,26,0,Converted to Case - Pending,
2023,Maharashtra,Textile & Apparel,Non-Payment,50 Lakh - 1 Crore,7500000,CPSE,785,1,1,1,5,0.97,67,0,Mutually Settled,113.0
2024,Tamil Nadu,Manufacturing,Non-Payment,10-50 Lakh,3000000,Private Large Corp,494,0,1,1,13,0.55,69,1,Disposed - In Favour of Claimant,665.0
2022,Bihar,Pharma & Chemicals,Contract Breach,Below 1 Lakh,50000,PSU,439,1,1,1,10,0.57,69,0,Mutually Settled,132.0
2024,Gujarat,Engineering & Fabrication,Partial Payment,1-10 Lakh,500000,CPSE,553,1,1,1,14,0.51,97,0,Mutually Settled,15.0
2022,Gujarat,IT & Software Services,Non-Payment,50 Lakh - 1 Crore,7500000,Private Large Corp,615,1,1,1,6,0.69,96,0,Mutually Settled,163.0
2022,Rajasthan,IT & Software Services,Non-Payment,Below 1 Lakh,50000,Private Large Corp,208,0,1,1,8,0.5,79,0,Converted to Case - Pending,
2021,Himachal Pradesh,Textile & Apparel,Partial Payment,1-10 Lakh,500000,Private Large Corp,689,0,1,1,6,0.81,55,2,Mutually Settled,157.0
2019,Gujarat,IT & Software Services,Partial Payment,10-50 Lakh,3000000,CPSE,264,0,1,1,12,0.64,88,0,Mutually Settled,111.0
2022,Punjab,Engineering & Fabrication,Non-Payment,1-10 Lakh,500000,Private SME,376,0,1,1,13,0.82,87,3,Disposed - In Favour of Claimant,149.0
2025,West Bengal,Printing & Packaging,Contract Breach,1-10 Lakh,500000,Private Large Corp,496,1,1,1,9,0.8,33,0,Mutually Settled,136.0
2024,Gujarat,Pharma & Chemicals,Non-Payment,10-50 Lakh,3000000,Private Large Corp,329,1,0,0,3,0.55,6,0,Disposed - In Favour of Claimant,230.0
2023,West Bengal,Textile & Apparel,Non-Payment,1-10 Lakh,500000,CPSE,184,0,1,1,10,0.5,78,0,Disposed - In Favour of Claimant,473.0
2023,Uttar Pradesh,IT & Software Services,Non-Payment,Below 1 Lakh,50000,PSU,560,0,0,1,13,0.58,58,0,Mutually Settled,159.0
2021,Punjab,Printing & Packaging,Partial Payment,10-50 Lakh,3000000,PSU,549,1,1,0,5,0.65,114,0,Mutually Settled,78.0
2019,Punjab,Pharma & Chemicals,Non-Payment,1-10 Lakh,500000,Govt Department,401,1,1,0,9,0.72,31,0,Mutually Settled,143.0
2020,Karnataka,Construction,Non-Payment,10-50 Lakh,3000000,Private SME,816,1,1,0,8,0.74,90,0,Mutually Settled,54.0
2017,Maharashtra,Printing & Packaging,Non-Payment,Below 1 Lakh,50000,CPSE,326,1,1,1,7,0.64,112,0,Mutually Settled,167.0
2023,Telangana,Construction,Partial Payment,10-50 Lakh,3000000,Private SME,889,1,0,0,3,0.51,113,1,Disposed - In Favour of Claimant,179.0
2024,Tamil Nadu,Construction,Non-Payment,1-10 Lakh,500000,CPSE,57,1,0,1,9,0.53,40,0,Mutually Settled,102.0
2020,Gujarat,Printing & Packaging,Non-Payment,1-10 Lakh,500000,Private SME,485,0,1,1,9,0.75,68,2,Disposed - In Favour of Claimant,709.0
2018,Maharashtra,IT & Software Services,Non-Payment,1-10 Lakh,500000,Private Large Corp,610,1,1,1,14,0.52,83,0,Mutually Settled,93.0
2021,Delhi,Construction,Non-Payment,Below 1 Lakh,50000,Private Large Corp,811,1,0,1,3,0.76,1,2,Mutually Settled,123.0
2020,Haryana,IT & Software Services,Partial Payment,50 Lakh - 1 Crore,7500000,Private SME,141,1,0,1,9,0.77,11,1,Disposed - In Favour of Claimant,356.0
2021,Maharashtra,IT & Software Services,Non-Payment,1-10 Lakh,500000,Private Large Corp,277,1,1,1,1,0.96,9,0,Mutually Settled,118.0
2020,Karnataka,Pharma & Chemicals,Non-Payment,10-50 Lakh,3000000,Private SME,823,0,1,0,1,0.55,8,0,Converted to Case - Pending,
2021,Gujarat,Electrical & Electronics,Partial Payment,Above 1 Crore,15000000,Private SME,157,1,1,0,11,0.58,88,0,Mutually Settled,25.0
2024,Punjab,Engineering & Fabrication,Non-Payment,10-50 Lakh,3000000,PSU,92,0,0,1,1,0.19,8,1,Converted to Case - Pending,
2021,Gujarat,IT & Software Services,Non-Payment,1-10 Lakh,500000,Private Large Corp,739,0,1,1,3,0.46,21,0,Disposed - In Favour of Claimant,139.0
2024,Haryana,Pharma & Chemicals,Non-Payment,1-10 Lakh,500000,Private Large Corp,792,0,1,1,13,0.46,5,0,Disposed - In Favour of Claimant,162.0
